hotkey,action,description
f,followLink,Follow link in same tab
F,followLinkNewTab,Follow link in new tab
j,scrollDown,Scroll down
k,scrollUp,Scroll up
gg,scrollToTop,Scroll to top of page
G,scrollToBottom,Scroll to bottom of page
J,prevTab,Switch to previous tab
K,nextTab,Switch to next tab
>>,moveTabRight,Move tab right
<<,moveTabLeft,Move tab left
yt,duplicateTab,Duplicate current tab
nt,newTab,Open new tab
x,closeTab,Close current tab
X,restoreTab,Restore last closed tab
r,reloadTab,Reload current tab
R,reloadTabHard,Reload tab bypassing cache
dr,closeTabsRight,Close tabs to the right
da,closeTabsOthers,Close all tabs except current
yv,yankText,Yank text of element
yl,yankLinkUrl,Copy link URL
yi,yankInputText,Copy text from input or textarea
ymv,yankMultiText,Yank multiple text elements
oml,openMultiLinks,Open multiple links in new tabs
A-h,hoverElement,Hover over element
